# VEML7700,照度计
56	,57
68	,69
78	,80
89	,91
115	,120
130	,136
155	,165
181	,196
200	,220
224	,250
244	,270
264	,304
289	,334
313	,365
335	,396
358	,428
381	,461
405	,496
412	,517
463	,590
561	,641
669	,804
824	,1063
995	,1396
1177	,1802
2351	,2286
2831	,2843
3356	,3443
3920	,4112
4491	,4821
6740	,7245
7542	,9586
10100	,14710
152310	,21070
178000	,33120
